disease_id,gene,disease_name,omim_id,inheritance,phenotype_concern_list
D0037,ALDOB,Hereditary fructose intolerance,OMIM:229600,AR,developmental delay concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; musculoskeletal concern; renal / urinary concern; seizure-like event concern; skin concern
D0047,AP3D1,Hermansky-Pudlak syndrome 10,OMIM:617050,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; motor weakness concern; recurrent / unusual infection concern; respiratory concern; seizure-like event concern; skin concern; vision / ocular tracking concern
D0046,AP3B1,Hermansky-Pudlak syndrome 2,OMIM:608233,AR,developmental delay concern; gastrointestinal concern; hematologic / bleeding concern; language / cognitive concern; recurrent / unusual infection concern; respiratory concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0315,HMGCL,HMG-CoA lyase deficiency,OMIM:246450,AR,developmental delay concern; gastrointestinal concern; hematologic / bleeding concern; renal / urinary concern; seizure-like event concern; skin concern; systemic red flag concern
D0316,HMGCS2,HMG-CoA synthase-2 deficiency,OMIM:605911,AR,gastrointestinal concern; renal / urinary concern; seizure-like event concern
D0314,HLCS,Holocarboxylase synthetase deficiency,OMIM:253270,AR,developmental delay concern; feeding / swallowing concern; gastrointestinal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory concern; seizure-like event concern; skin concern
D0412,MTHFR,Homocystinuria due to MTHFR deficiency,OMIM:236250,AR,developmental delay concern; gait / coordination concern; motor weakness concern; renal / urinary concern; seizure-like event concern; social interaction / behavioral concern
D0098,CBS,"Homocystinuria, B6-responsive and nonresponsive types",OMIM:236200,AR,developmental delay concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; language / cognitive concern; musculoskeletal concern; recurrent / unusual infection concern; renal / urinary concern; respiratory / cardiopulmonary concern; seizure-like event concern; skin concern; social interaction / behavioral concern; vision / ocular tracking concern
D0414,MTRR,"Homocystinuria-megaloblastic anemia, cbl E type",OMIM:236270,AR,developmental delay concern; gait / coordination concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; renal / urinary concern; seizure-like event concern; vision / ocular tracking concern
D0413,MTR,"Homocystinuria-megaloblastic anemia, cblG complementation type",OMIM:250940,AR,developmental delay concern; feeding / swallowing concern; gait / coordination concern; gastrointestinal concern; growth / weight concern; hematologic / bleeding concern; language / cognitive concern; musculoskeletal concern; renal / urinary concern; respiratory concern; seizure-like event concern; skin concern; vision / ocular tracking concern
